x,y,latitude,longitude
527913.5313,174453.6797	 , '34.56012S', '19.30352E'
526878.1719,175931.5781	 , '34.54682S', '19.29219E'
525835.8906,177431.2578	 , '34.53333S', '19.28079E'
524792.0938,178954.1055	 , '34.51963S', '19.26938E'
523618.8984,180645.9297	 , '34.50441S', '19.25656E'
522222.9922,182525.3398	 , '34.48749S', '19.24131E'
520659.625,184431.9922	 , '34.47034S', '19.22424E'
518970.9141,186310.582	 , '34.45344S', '19.20582E'
517209.1563,188126.707	 , '34.43710S', '19.18661E'
515419.6016,189866.6875	 , '34.42144S', '19.16711E'
513612.1172,191543.4766	 , '34.40635S', '19.14742E'
511815.7891,193150.4375	 , '34.39189S', '19.12786E'
510079.3047,194674.8711	 , '34.37816S', '19.10896E'
508421.1797,196128.6992	 , '34.36507S', '19.09092E'
506846.4766,197514.2383	 , '34.35259S', '19.07379E'
505441.3672,198781.3047	 , '34.34118S', '19.05851E'
504253.1484,199929.332	 , '34.33083S', '19.04559E'
528190.3594,172461.8516	 , '34.57807S', '19.30661E'
527176.9219,173944.9258	 , '34.56472S', '19.29551E'
526162.125,175440.3789	 , '34.55127S', '19.28441E'
525140.0078,176958.2383	 , '34.53761S', '19.27323E'
524114.1016,178501.3477	 , '34.52373S', '19.26201E'
522972.2578,180200.0859	 , '34.50844S', '19.24953E'
521627.7188,182074.0508	 , '34.49158S', '19.23484E'
520121.6953,183982.2109	 , '34.47441S', '19.21840E'
518488.9531,185871.3164	 , '34.45741S', '19.20058E'
516777.1563,187705.0078	 , '34.44091S', '19.18192E'
515030.0156,189466.5156	 , '34.42505S', '19.16288E'
513259.4688,191165.2148	 , '34.40976S', '19.14359E'
511493.1953,192793.5977	 , '34.39511S', '19.12436E'
509777.7266,194336.4805	 , '34.38121S', '19.10568E'
508131.3828,195803.1719	 , '34.36801S', '19.08777E'
506561.3047,197195.8047	 , '34.35546S', '19.07069E'
505147.6797,198470.4102	 , '34.34398S', '19.05532E'
503931.6563,199657.6484	 , '34.33328S', '19.04210E'
527439.2031,171955.1211	 , '34.58265S', '19.29844E'
526445.2031,173455.2188	 , '34.56916S', '19.28755E'
525450.4844,174967.4063	 , '34.55555S', '19.27667E'
524448.3203,176502.4883	 , '34.54174S', '19.26571E'
523440.4688,178064.6367	 , '34.52768S', '19.25468E'
522328.6406,179770.0078	 , '34.51233S', '19.24253E'
521032.4609,181638.7695	 , '34.49551S', '19.22837E'
519581.2969,183547.5742	 , '34.47833S', '19.21253E'
518003.2188,185445.5938	 , '34.46125S', '19.19531E'
516341.1875,187295.1445	 , '34.44461S', '19.17718E'
514636.9922,189076.75	 , '34.42857S', '19.15861E'
512904.2578,190796.3203	 , '34.41309S', '19.13973E'
511169.4375,192445.2891	 , '34.39825S', '19.12084E'
509477.0703,194006.2266	 , '34.38419S', '19.10242E'
507845.1953,195485.9141	 , '34.37087S', '19.08466E'
506282.2734,196885.4688	 , '34.35826S', '19.06766E'
